Zone,Coordinates,Radius
Himachal_1,"31.873260,77.218891",100489.34 Meters
Himachal_2,"30.744087,77.442958",25436.25 Meters
Punjab_1,"31.516029,75.334976",62860.37 Meters
Punjab_2,"30.470609,74.816149",61882.92 Meters
Punjab_3,"30.726231,75.991178",45055.69 Meters
Punjab_4,"30.072987,75.687661",32364.11 Meters
Punjab_5,"32.223745,75.630766",20059.44 Meters
Punjab_6,"30.309005,76.434785",17082.97 Meters
Haryana_1,"29.574939,74.938006",35559.59 Meters
Haryana_2,"29.378815,75.712523",43023.56 Meters
Haryana_3,"29.118284,76.906444",22087.74 Meters
Haryana_4,"28.696073,76.311358",52008.10 Meters
Haryana_5,"29.714145,76.602625",49698.38 Meters
Haryana_6,"30.346627,77.052975",32802.33 Meters
Haryana_7,"29.894954,77.398828",25378.02 Meters
Delhi,"28.519553,77.250906",40529.96 Meters
UP_1,"29.250640,77.668503",49057.96 Meters
UP_2,"28.765447,78.580363",54410.55 Meters
UP_3,"27.642454,78.206687",73902.52 Meters
UP_4,"28.011467,79.778266",82534.74 Meters
UP_5,"25.505168,78.886895",42721.52 Meters
UP_6,"26.344840,80.250508",106228.97 Meters
UP_7,"27.607699,81.183737",58508.48 Meters
UP_8,"26.502366,82.519334",115351.96 Meters
UP_9,"25.070491,82.897456",44349.38 Meters
UP_10,"25.369082,81.106064",28838.30 Meters
UP_11,"25.289614,81.776300",34365.55 Meters
UP_12,"24.951430,82.215687",21049.78 Meters
UP_13,"24.367300,83.122034",34416.61 Meters
UP_14,"25.859383,83.879965",34423.78 Meters
UP_15,"26.968957,79.029563",33607.81 Meters
Bihar_1,"24.971457,83.847015",45684.86 Meters
Bihar_2,"25.486785,85.030179",82645.25 Meters
Bihar_3,"26.593646,84.621339",44326.55 Meters
Bihar_4,"26.190166,86.060847",44321.22 Meters
Bihar_5,"25.715879,87.148981",70739.96 Meters
Bihar_6,"24.951539,86.225561",47469.35 Meters
Jharkhand_1,"24.068314,83.919945",47475.53 Meters
Jharkhand_2,"23.465252,85.096573",87831.10 Meters
Jharkhand_3,"24.688230,87.423040",39693.38 Meters
Jharkhand_4,"24.187468,86.798339",39686.32 Meters
Jharkhand_5,"24.257626,85.963430",32996.26 Meters
Jharkhand_6,"23.761880,86.270892",27392.73 Meters
Jharkhand_7,"22.772762,86.062267",31882.82 Meters
Jharkhand_8,"22.580184,84.447289",23960.87 Meters
